Date,Market_Return_Proxy,VIX_Volatility,Treasury_10Y_Yield,Treasury_3M_Yield,Term_Spread
2019-01-02,250.17999267578125,23.219999313354492,2.6610000133514404,2.365000009536743,0.29600000381469727
2019-01-03,244.2100067138672,25.450000762939453,2.553999900817871,2.3550000190734863,0.19899988174438477
2019-01-04,252.38999938964844,21.3799991607666,2.6589999198913574,2.3580000400543213,0.30099987983703613
2019-01-07,254.3800048828125,21.399999618530273,2.681999921798706,2.3529999256134033,0.32899999618530273
2019-01-08,256.7699890136719,20.469999313354492,2.7160000801086426,2.4000000953674316,0.31599998474121094
2019-01-09,257.9700012207031,19.979999542236328,2.7279999256134033,2.390000104904175,0.3379998207092285
2019-01-10,258.8800048828125,19.5,2.7309999465942383,2.375,0.3559999465942383
2019-01-11,258.9800109863281,18.190000534057617,2.7009999752044678,2.369999885559082,0.33100008964538574
2019-01-14,257.3999938964844,19.06999969482422,2.7100000381469727,2.359999895095825,0.35000014305114746
2019-01-15,260.3500061035156,18.600000381469727,2.7109999656677246,2.382999897003174,0.3280000686645508
2019-01-16,260.9800109863281,19.040000915527344,2.7309999465942383,2.36299991607666,0.3680000305175781
2019-01-17,262.9599914550781,18.059999465942383,2.749000072479248,2.3550000190734863,0.3940000534057617
2019-01-18,266.4599914550781,17.799999237060547,2.7839999198913574,2.3480000495910645,0.43599987030029297
2019-01-22,262.8599853515625,20.799999237060547,2.7300000190734863,2.3450000286102295,0.38499999046325684
2019-01-23,263.4100036621094,19.520000457763672,2.755000114440918,2.3529999256134033,0.40200018882751465
2019-01-24,263.54998779296875,18.889999389648438,2.7119998931884766,2.305000066757202,0.4069998264312744
2019-01-25,265.7799987792969,17.420000076293945,2.753000020980835,2.328000068664551,0.4249999523162842
2019-01-28,263.760009765625,18.8700008392334,2.74399995803833,2.3329999446868896,0.41100001335144043
2019-01-29,263.4100036621094,19.1299991607666,2.7119998931884766,2.365000009536743,0.3469998836517334
2019-01-30,267.5799865722656,17.65999984741211,2.694999933242798,2.365000009536743,0.3299999237060547
2019-01-31,269.92999267578125,16.56999969482422,2.634999990463257,2.3399999141693115,0.2950000762939453
2019-02-01,270.05999755859375,16.139999389648438,2.690999984741211,2.3399999141693115,0.3510000705718994
2019-02-04,271.9599914550781,15.729999542236328,2.7239999771118164,2.3350000381469727,0.38899993896484375
2019-02-05,273.1000061035156,15.569999694824219,2.7019999027252197,2.365000009536743,0.33699989318847656
2019-02-06,272.739990234375,15.380000114440918,2.7019999027252197,2.365000009536743,0.33699989318847656
2019-02-07,270.1400146484375,16.3700008392334,2.6519999504089355,2.3550000190734863,0.2969999313354492
2019-02-08,270.4700012207031,15.720000267028809,2.631999969482422,2.365000009536743,0.2669999599456787
2019-02-11,270.6199951171875,15.970000267028809,2.6610000133514404,2.375,0.28600001335144043
2019-02-12,274.1000061035156,15.430000305175781,2.684000015258789,2.378000020980835,0.3059999942779541
